::1 - - [25/Dec/2019:05:43:59 +0000] "GET /api/pieces HTTP/1.1" 200 378 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:44:09 +0000] "DELETE /api/pieces/5e02f6747b86ae52c801c4b3 HTTP/1.1" 200 219 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:25 +0000] "POST /api/museums HTTP/1.1" 200 227 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:25 +0000] "POST /api/museums HTTP/1.1" 500 480 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:25 +0000] "POST /api/museums HTTP/1.1" 500 1133 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:25 +0000] "GET /api/museums HTTP/1.1" 200 415 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:25 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:25 +0000] "GET /api/museums/1 HTTP/1.1" 404 239 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:25 +0000] "GET /api/museums/ HTTP/1.1" 200 415 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:25 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "PUT /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "PUT /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "DELETE /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "DELETE /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "POST /api/pieces HTTP/1.1" 200 210 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "POST /api/pieces HTTP/1.1" 500 2017 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "POST /api/pieces HTTP/1.1" 500 2017 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "GET /api/pieces HTTP/1.1" 200 378 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "GET /api/pieces/name/test HTTP/1.1" 200 204 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "GET /api/pieces/123 HTTP/1.1" 404 245 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "GET /api/pieces/5e02f73a6a71488230c7fd21 HTTP/1.1" 200 204 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "GET /api/pieces/name/test HTTP/1.1" 200 204 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "PUT /api/pieces/5e02f73a6a71488230c7fd21 HTTP/1.1" 200 211 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "PUT /api/pieces/5e02f73a6a71488230c7fd21 HTTP/1.1" 200 211 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "DELETE /api/pieces/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:44:26 +0000] "DELETE /api/pieces/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "POST /api/museums HTTP/1.1" 200 227 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "POST /api/museums HTTP/1.1" 500 480 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "POST /api/museums HTTP/1.1" 500 1133 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "GET /api/museums HTTP/1.1" 200 582 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "GET /api/museums/1 HTTP/1.1" 404 239 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "GET /api/museums/ HTTP/1.1" 200 582 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "PUT /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "PUT /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "DELETE /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "DELETE /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "POST /api/pieces HTTP/1.1" 200 210 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "POST /api/pieces HTTP/1.1" 500 2017 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "POST /api/pieces HTTP/1.1" 500 2017 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:45:16 +0000] "GET /api/pieces HTTP/1.1" 200 530 "-" "node-superagent/3.8.3"
